STEP;C11;NP;OCB;OCC;OCW;WBL;WYC;TOTAL
167;1590.8946533203125;0.0;1485.3187255859375;20950.490234375;9766.62109375;6170.6259765625;27507.109375;67470.7109375
168;1679.669677734375;0.0;1480.2723388671875;22382.78125;9034.8671875;6177.564453125;27352.703125;68107.3671875
169;1651.197509765625;0.0;1407.4664306640625;22087.505859375;10215.84765625;6128.20947265625;27823.6953125;69313.640625
170;1747.6678466796875;0.0;1581.4910888671875;22420.58984375;9725.7919921875;5938.9716796875;27676.970703125;69091.125
171;1635.19482421875;0.0;1565.9952392578125;22356.533203125;9898.5263671875;6327.49755859375;27371.796875;69155.09375
172;1635.4517822265625;0.0;1654.998291015625;22794.021484375;10358.9189453125;6317.57177734375;27282.701171875;70043.2578125
173;1504.923828125;0.0;1548.5206298828125;23540.248046875;9837.787109375;6140.26025390625;26864.951171875;69436.296875
174;1571.4288330078125;0.0;1429.330322265625;22582.509765625;9371.3662109375;5316.01318359375;27285.123046875;67555.234375
175;1547.1817626953125;0.0;1656.0174560546875;22100.5703125;9549.3779296875;5436.48388671875;27387.76171875;67676.953125
176;1610.3209228515625;0.0;1406.598388671875;21321.720703125;9335.2685546875;6066.29638671875;26934.447265625;66674.0390625
177;1162.073974609375;0.0;1398.0252685546875;22014.03125;9415.79296875;5989.43603515625;27300.73046875;67279.5390625
178;1320.2642822265625;0.0;1449.1883544921875;21111.68359375;9877.7412109375;6099.7822265625;26938.470703125;66796.59375
179;1221.912353515625;0.0;1406.205810546875;21146.669921875;10524.6259765625;5940.3466796875;27329.630859375;67569.046875
180;1289.4901123046875;0.0;1446.3411865234375;20949.5234375;9924.37109375;5834.568359375;27336.037109375;66779.78125
181;1185.7008056640625;0.0;1538.0933837890625;21852.51171875;9555.9697265625;5546.046875;27812.361328125;67490.25
182;1285.195068359375;0.0;1581.5133056640625;21563.3984375;10002.2763671875;6378.20556640625;27708.76953125;68518.8515625
183;1474.146240234375;0.4706658720970154;1653.369140625;22249.607421875;9941.810546875;6141.00927734375;27421.814453125;68881.859375
184;1551.510009765625;0.0;1665.7012939453125;22020.73046875;9781.8974609375;5960.48046875;27879.140625;68859.078125
185;1435.8262939453125;0.0;1683.2213134765625;23107.21484375;9848.5;5696.63427734375;27325.603515625;69096.6796875
186;1399.913330078125;0.0;1645.6346435546875;22522.314453125;9698.255859375;6407.990234375;27091.806640625;68765.453125
187;1478.881103515625;0.0;1738.8238525390625;23063.458984375;9487.046875;6564.93359375;27409.912109375;69742.5859375
188;1315.74755859375;0.0;1719.8184814453125;22666.552734375;9690.55859375;6064.259765625;27350.91015625;68807.4453125
189;1320.78466796875;0.0;1510.7225341796875;22491.482421875;9916.228515625;5593.2490234375;27419.39453125;68251.375
190;1324.16357421875;0.0;1454.626220703125;22723.404296875;10240.232421875;6636.17431640625;27846.2265625;70224.671875
191;1502.162841796875;0.0;1564.82177734375;22897.2421875;10228.962890625;6112.59326171875;27612.62890625;69918.109375
192;1308.5584716796875;0.0;1318.4031982421875;21241.28125;10222.4140625;5819.115234375;27589.94140625;67499.375
193;1372.021484375;0.4706658720970154;1266.357666015625;21458.384765625;10156.8037109375;5703.42236328125;27618.412109375;67575.5859375
194;1266.8511962890625;0.2353329360485077;1331.871337890625;20960.82421875;9847.923828125;6228.87060546875;27035.23828125;66671.328125
195;1273.70849609375;0.0;1250.3995361328125;22298.1640625;9924.0341796875;6147.91064453125;27296.900390625;68190.75
196;1247.8807373046875;0.2353329360485077;1288.4666748046875;22121.125;10107.6142578125;6501.98583984375;26857.55078125;68124.40625
197;1205.480712890625;0.0;1278.24560546875;21716.341796875;10347.869140625;6101.2333984375;26523.646484375;67172.53125
198;1373.41845703125;0.4706658720970154;1340.7381591796875;21897.923828125;10456.7294921875;6326.4609375;26831.77734375;68227.0859375
199;1271.6695556640625;0.0;1322.11279296875;21559.44140625;10101.033203125;6199.349609375;27247.357421875;67700.65625
